ID,rrn ,ave,group
33779,7,2.43016E-06,human
33780,7,2.43016E-06,human
33781,7,2.43016E-06,human
33782,7,2.43016E-06,human
33783,7,2.43016E-06,human
33784,7,2.43016E-06,human
33785,7,2.43016E-06,human
33786,7,2.43016E-06,human
33787,7,2.43016E-06,human
33788,7,4.86031E-06,human
33789,7,0.001326866,human
33790,7,5.58936E-05,human
33791,7,3.40222E-05,human
33792,7,0.00031106,human
33793,7,0.000357233,human
33794,7,0.000252736,human
33795,7,0.000238155,human
33796,7,8.74857E-05,human
33797,7,8.26253E-05,human
33798,7,0.000204133,human
33799,7,0.000121508,human
33800,7,5.10333E-05,human
33801,7,0.000104497,human
33802,7,0.004060793,human
33803,6.83,2.43016E-06,human
33804,6.83,4.86031E-06,human
33805,6.83,2.43016E-06,human
33806,6.83,2.43016E-05,human
33807,6.83,1.45809E-05,human
33808,6.83,2.18714E-05,human
33809,6.83,1.21508E-05,human
33810,6.83,4.86031E-06,human
33811,6.83,4.86031E-06,human
33812,6.83,4.86031E-06,human
33813,6.83,7.29047E-06,human
33814,6.83,4.86031E-06,human
33815,6.83,1.21508E-05,human
33816,6.83,9.72063E-06,human
33817,6.83,7.29047E-06,human
33818,6.83,4.86031E-06,human
33819,6.83,2.43016E-06,human
33820,6.83,7.29047E-06,human
33821,6.83,2.43016E-06,human
33822,6.83,1.21508E-05,human
33823,6.83,2.43016E-06,human
33824,6.83,2.43016E-06,human
33825,6.83,2.43016E-06,human
33826,6.83,2.43016E-06,human
33827,6.83,2.43016E-06,human
33828,6.83,2.43016E-06,human
33829,6.83,2.43016E-06,human
33830,6.83,2.43016E-06,human
33831,6.83,2.43016E-06,human
33832,6.83,2.43016E-06,human
33833,6.83,2.43016E-06,human
33834,6.83,2.43016E-06,human
33835,6.83,2.43016E-06,human
33836,6.83,2.43016E-06,human
33837,6.83,2.43016E-06,human
33838,6.83,2.43016E-06,human
33839,6.83,1.21508E-05,human
33840,6.83,2.43016E-06,human
33841,6.83,2.43016E-06,human
33842,6.83,2.43016E-06,human
33843,6.83,2.43016E-06,human
33844,6.83,2.43016E-06,human
33845,6.83,2.43016E-06,human
33846,6.83,2.43016E-06,human
33847,6.83,2.43016E-06,human
33848,6.83,2.43016E-06,human
33849,6.83,2.43016E-06,human
33850,6.83,2.43016E-06,human
33851,6.83,7.29047E-06,human
33852,6.83,1.21508E-05,human
33853,6.83,2.43016E-06,human
33854,6.83,2.43016E-06,human
33855,6.83,2.43016E-06,human
