ID,Phylum
SASV207,Proteobacteria
SASV271,Proteobacteria
SASV252,Proteobacteria
SASV342,Proteobacteria
SASV527,Proteobacteria
SASV449,Proteobacteria
SASV502,Proteobacteria
SASV325,Proteobacteria
SASV402,Proteobacteria
SASV275,Proteobacteria
SASV249,Proteobacteria
SASV417,Proteobacteria
SASV441,Proteobacteria
SASV143,Proteobacteria
SASV423,Proteobacteria
SASV612,Proteobacteria
SASV161,Proteobacteria
SASV622,Proteobacteria
SASV419,Proteobacteria
SASV315,Proteobacteria
SASV666,Proteobacteria
SASV665,Proteobacteria
SASV663,Proteobacteria
SASV329,Proteobacteria
SASV676,Proteobacteria
SASV613,Proteobacteria
SASV682,Proteobacteria
SASV549,Proteobacteria
SASV746,Proteobacteria
SASV740,Proteobacteria
SASV424,Proteobacteria
SASV578,Proteobacteria
SASV577,Proteobacteria
SASV844,Proteobacteria
SASV242,Proteobacteria
SASV842,Proteobacteria
SASV672,Proteobacteria
SASV172,Proteobacteria
SASV868,Proteobacteria
SASV862,Proteobacteria
SASV575,Proteobacteria
SASV634,Proteobacteria
SASV428,Proteobacteria
SASV936,Proteobacteria
SASV946,Proteobacteria
SASV372,Proteobacteria
SASV988,Proteobacteria
SASV985,Proteobacteria
SASV673,Proteobacteria
SASV580,Proteobacteria
SASV1022,Proteobacteria
SASV411,Proteobacteria
SASV1080,Proteobacteria
SASV507,Proteobacteria
SASV471,Proteobacteria
SASV560,Proteobacteria
SASV1153,Proteobacteria
SASV360,Proteobacteria
SASV1162,Proteobacteria
SASV487,Proteobacteria
SASV1208,Proteobacteria
SASV1230,Proteobacteria
SASV1234,Proteobacteria
SASV1219,Proteobacteria
SASV1266,Proteobacteria
SASV732,Proteobacteria
SASV1269,Proteobacteria
SASV1267,Proteobacteria
SASV1290,Proteobacteria
SASV1276,Proteobacteria
SASV1341,Proteobacteria
SASV1342,Proteobacteria
SASV1355,Proteobacteria
SASV851,Proteobacteria
SASV1340,Proteobacteria
SASV1353,Proteobacteria
SASV1433,Proteobacteria
SASV508,Proteobacteria
SASV1464,Proteobacteria
SASV1467,Proteobacteria
SASV743,Proteobacteria
SASV1513,Proteobacteria
SASV1546,Proteobacteria
SASV1516,Proteobacteria
SASV1517,Proteobacteria
SASV781,Proteobacteria
SASV1515,Proteobacteria
SASV1633,Proteobacteria
SASV1628,Proteobacteria
SASV795,Proteobacteria
SASV1631,Proteobacteria
SASV1653,Proteobacteria
SASV1830,Proteobacteria
SASV1782,Proteobacteria
SASV1835,Proteobacteria
SASV940,Proteobacteria
SASV1775,Proteobacteria
SASV1774,Proteobacteria
SASV1802,Proteobacteria
SASV1777,Proteobacteria
SASV1836,Proteobacteria
SASV1965,Proteobacteria
SASV1931,Proteobacteria
SASV1953,Proteobacteria
SASV824,Proteobacteria
SASV2016,Proteobacteria
SASV1990,Proteobacteria
SASV2025,Proteobacteria
SASV557,Proteobacteria
SASV2017,Proteobacteria
SASV1977,Proteobacteria
SASV2172,Proteobacteria
SASV2198,Proteobacteria
SASV2208,Proteobacteria
SASV2251,Proteobacteria
SASV2269,Proteobacteria
SASV2297,Proteobacteria
SASV2304,Proteobacteria
SASV2328,Proteobacteria
SASV2544,Proteobacteria
SASV2622,Proteobacteria
SASV2580,Proteobacteria
SASV1367,Proteobacteria
SASV2636,Proteobacteria
SASV2598,Proteobacteria
SASV2545,Proteobacteria
HASV7,Proteobacteria
HASV28,Proteobacteria
HASV795,Proteobacteria
HASV820,Proteobacteria
HASV4821,Proteobacteria
HASV5180,Proteobacteria
HASV1104,Proteobacteria
HASV5170,Proteobacteria
HASV5142,Proteobacteria
HASV1413,Proteobacteria
HASV4818,Proteobacteria
HASV5223,Proteobacteria
HASV4937,Proteobacteria
HASV5132,Proteobacteria
HASV5173,Proteobacteria
HASV1197,Proteobacteria
HASV4748,Proteobacteria
HASV5148,Proteobacteria
HASV5149,Proteobacteria
HASV5140,Proteobacteria
HASV5147,Proteobacteria
HASV5150,Proteobacteria
HASV5200,Proteobacteria
HASV5212,Proteobacteria
HASV2243,Proteobacteria
HASV2397,Proteobacteria
HASV4960,Proteobacteria
HASV5162,Proteobacteria
HASV5184,Proteobacteria
HASV5208,Proteobacteria
MAASV1914,Gemmatimonadota
MAASV1,Firmicutes
MAASV11,Firmicutes
MAASV10,Firmicutes
MAASV5,Firmicutes
MAASV29,Firmicutes
MAASV9,Firmicutes
MAASV43,Firmicutes
MAASV32,Firmicutes
