ID,rrn,doubling time
174,1.4,3.321928095
216,2,3.321928095
400,2.5,3.321928095
675,5,3.304511042
425,2.61,3.284733069
487,3,3.27351589
489,3,3.266036894
408,2.5,3.264536431
30,1,3.263034406
473,3,3.260025656
486,3,3.255500733
494,3,3.247927513
208,1.99,3.232660757
398,2.5,3.204766751
237,2,3.201633861
33,1,3.169925001
695,5.16,3.169925001
133,1,3.165107985
424,2.61,3.153157858
26,1,3.137503524
299,2,3.10433666
687,5,3.10433666
71,1,3.087462841
275,2,3.073820233
214,2,3.054848477
55,1,3.044394119
537,3.27,3.040892431
73,1,3.039138394
863,9.67,3.032100843
81,1,3.003602237
132,1,3
482,3,3
536,3.27,3
42,1,2.996010916
87,1,2.98550043
491,3,2.983677695
377,2.33,2.965322548
393,2.5,2.942983598
141,1,2.9202933
582,4,2.914564523
14,1,2.906890596
379,2.33,2.906890596
111,1,2.887525271
136,1,2.887525271
633,4.45,2.883620816
641,4.5,2.867896464
86,1,2.857980995
595,4,2.855989697
847,9,2.835924074
32,1,2.807354922
80,1,2.771885579
101,1,2.771885579
644,4.5,2.763411574
712,5.16,2.744161096
469,3,2.731183242
351,2.25,2.700439718
460,3,2.700439718
685,5,2.700439718
185,1.42,2.678071905
131,1,2.655351829
388,2.5,2.655351829
449,2.78,2.655351829
52,1,2.650764559
385,2.39,2.634593268
29,1,2.609012636
191,1.5,2.608809243
339,2,2.59454855
69,1,2.584962501
255,2,2.584962501
260,2,2.584962501
414,2.52,2.584962501
444,2.75,2.584962501
499,3,2.584962501
545,3.32,2.584962501
583,4,2.584962501
53,1,2.577730931
493,3,2.572889668
137,1,2.570462931
151,1,2.541019153
673,5,2.530127316
822,7.33,2.528571319
667,5,2.526068812
662,4.93,2.518535139
236,2,2.482848283
463,3,2.472487771
404,2.5,2.464668267
6,1,2.459431619
626,4.33,2.44625623
627,4.33,2.44625623
524,3,2.435628594
85,1,2.430285273
230,2,2.416839742
222,2,2.40599236
624,4.1,2.40599236
95,1,2.392317423
381,2.33,2.392317423
348,2.15,2.375734539
228,2,2.358958826
209,1.99,2.350497247
223,2,2.341985747
472,3,2.327687364
64,1,2.321928095
78,1,2.321928095
93,1,2.321928095
140,1,2.321928095
283,2,2.321928095
291,2,2.321928095
335,2,2.321928095
347,2.15,2.321928095
415,2.52,2.321928095
694,5.16,2.321928095
792,6.83,2.321928095
814,7,2.321928095
884,10.62,2.321928095
142,1,2.313245852
84,1,2.307428525
206,1.88,2.307428525
417,2.56,2.307428525
516,3,2.301587647
390,2.5,2.292781749
410,2.5,2.292781749
709,5.16,2.292781749
639,4.5,2.277984747
846,9,2.272023189
210,2,2.269033146
353,2.25,2.257010618
474,3,2.253989266
876,10.01,2.241840184
167,1,2.22342255
868,10,2.220329955
327,2,2.214124805
402,2.5,2.214124805
227,2,2.207892852
672,5,2.207892852
670,5,2.204766751
66,1,2.201633861
359,2.25,2.201633861
50,1,2.198494154
488,3,2.198494154
226,2,2.169925001
155,1,2.160274831
654,4.67,2.15704371
225,2,2.153805336
68,1,2.10433666
184,1.42,2.077242999
201,1.82,2.070389328
756,5.8,2.070389328
825,7.33,2.032100843
246,2,2.028569152
661,4.93,2.028569152
466,3,2.010779839
31,1,2
150,1,2
229,2,2
418,2.56,2
468,3,2
576,4,2
590,4,2
638,4.5,2
279,2,1.98550043
593,4,1.981852653
589,4,1.963474124
848,9,1.963474124
640,4.5,1.956056652
113,1,1.952333566
459,3,1.948600847
104,1,1.929790998
391,2.5,1.925999419
594,4,1.925999419
51,1,1.922197848
157,1,1.906890596
16,1,1.859969548
383,2.33,1.859969548
67,1,1.847996907
158,1,1.847996907
619,4,1.847996907
99,1,1.807354922
204,1.84,1.807354922
350,2.25,1.807354922
604,4,1.807354922
211,2,1.790772038
448,2.75,1.786596362
666,5,1.786596362
