ID,rrn ,ave,group
3959,7,8.03741E-07,mice
3960,7,8.03741E-07,mice
3961,7,8.03741E-07,mice
3962,7,8.03741E-07,mice
3963,7,8.03741E-07,mice
3964,7,8.03741E-07,mice
3965,7,8.03741E-07,mice
3966,7,8.03741E-07,mice
3967,7,8.03741E-07,mice
3968,7,8.03741E-07,mice
3969,7,8.03741E-07,mice
3970,7,8.03741E-07,mice
3971,7,8.03741E-07,mice
3972,7,8.03741E-07,mice
3973,7,8.03741E-07,mice
3974,7,8.03741E-07,mice
3975,7,8.03741E-07,mice
3976,7,8.03741E-07,mice
3977,7,8.03741E-07,mice
3978,7,8.03741E-07,mice
3979,7,8.03741E-07,mice
3980,7,8.03741E-07,mice
3981,7,8.03741E-07,mice
3982,7,8.03741E-07,mice
3983,7,8.03741E-07,mice
3984,7,8.03741E-07,mice
3985,7,8.03741E-07,mice
3986,7,8.03741E-07,mice
3987,7,8.03741E-07,mice
3988,7,8.03741E-07,mice
3989,7,8.03741E-07,mice
3990,7,8.03741E-07,mice
3991,7,8.03741E-07,mice
3992,7,8.03741E-07,mice
3993,7,8.03741E-07,mice
3994,7,8.03741E-07,mice
3995,7,8.03741E-07,mice
3996,7,8.03741E-07,mice
3997,7,8.03741E-07,mice
3998,7,8.03741E-07,mice
3999,7,8.03741E-07,mice
4000,7,8.03741E-07,mice
4001,7,8.03741E-07,mice
4002,7,8.03741E-07,mice
4003,7,8.03741E-07,mice
4004,7,8.03741E-07,mice
4005,7,8.03741E-07,mice
4006,7,8.03741E-07,mice
4007,7,8.03741E-07,mice
4008,7,8.03741E-07,mice
4009,7,8.03741E-07,mice
4010,7,8.03741E-07,mice
4011,7,8.03741E-07,mice
4012,7,8.03741E-07,mice
4013,7,8.03741E-07,mice
4014,7,8.03741E-07,mice
4015,7,8.03741E-07,mice
4016,7,8.03741E-07,mice
4017,7,8.03741E-07,mice
4018,7,8.03741E-07,mice
4019,7,8.03741E-07,mice
4020,7,8.03741E-07,mice
4021,7,8.03741E-07,mice
4022,7,8.03741E-07,mice
4023,7,8.03741E-07,mice
4024,7,8.03741E-07,mice
4025,7,8.03741E-07,mice
4026,7,8.03741E-07,mice
4027,7,8.03741E-07,mice
4028,7,8.03741E-07,mice
4029,7,8.03741E-07,mice
4030,7,8.03741E-07,mice
4031,7,8.03741E-07,mice
4032,7,8.03741E-07,mice
4033,7,8.03741E-07,mice
4034,7,8.03741E-07,mice
4035,7,8.03741E-07,mice
4036,7,8.03741E-07,mice
4037,7,8.03741E-07,mice
4038,7,8.03741E-07,mice
4039,7,8.03741E-07,mice
4040,7,8.03741E-07,mice
4041,7,8.03741E-07,mice
4042,7,8.03741E-07,mice
4043,7,8.03741E-07,mice
4044,7,8.03741E-07,mice
4045,7,8.03741E-07,mice
4046,7,8.03741E-07,mice
4047,7,8.03741E-07,mice
4048,7,8.03741E-07,mice
4049,7,8.03741E-07,mice
4050,7,8.03741E-07,mice
4051,7,8.03741E-07,mice
4052,7,8.03741E-07,mice
4053,7,8.03741E-07,mice
4054,7,8.03741E-07,mice
4055,7,8.03741E-07,mice
4056,7,8.03741E-07,mice
4057,7,8.03741E-07,mice
4058,6.83,0.000372132,mice
4059,6.83,0.000181645,mice
4060,6.83,0.000152711,mice
4061,6.83,0.000151907,mice
4062,6.83,0.000116542,mice
4063,6.83,7.55516E-05,mice
4064,6.83,4.74207E-05,mice
4065,6.83,4.58132E-05,mice
4066,6.83,2.41122E-05,mice
4067,6.83,2.41122E-05,mice
4068,6.83,2.25047E-05,mice
4069,6.83,2.00935E-05,mice
4070,6.83,1.04486E-05,mice
4071,6.83,9.64489E-06,mice
4072,6.83,9.64489E-06,mice
4073,6.83,7.23367E-06,mice
4074,6.83,7.23367E-06,mice
4075,6.83,7.23367E-06,mice
4076,6.83,6.42993E-06,mice
4077,6.83,6.42993E-06,mice
4078,6.83,5.62619E-06,mice
4079,6.83,5.62619E-06,mice
4080,6.83,5.62619E-06,mice
4081,6.83,5.62619E-06,mice
4082,6.83,4.82245E-06,mice
4083,6.83,4.82245E-06,mice
4084,6.83,4.82245E-06,mice
4085,6.83,4.82245E-06,mice
4086,6.83,4.0187E-06,mice
4087,6.83,4.0187E-06,mice
4088,6.83,4.0187E-06,mice
4089,6.83,4.0187E-06,mice
4090,6.83,4.0187E-06,mice
4091,6.83,4.0187E-06,mice
4092,6.83,4.0187E-06,mice
4093,6.83,3.21496E-06,mice
4094,6.83,3.21496E-06,mice
4095,6.83,3.21496E-06,mice
