#OTU ID,Y,Y20,Y20G,Y4,Y80,Y80G,taxonomy,rrn,rarity group
ASV_147,1,0,0,517,0,0,k__Bacteria;p__Proteobacteria,10.65,CRT
ASV_148,404,250,7,66,101,1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium,2.95,MT
ASV_149,708,73,2,123,6,5,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,1.67,CRT
ASV_15,2103,1163,62,81,29,145,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_sp._DS-7PS-12,10.65,AAT
ASV_150,9,151,4,3,83,2,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter,#N/A,#N/A
ASV_151,195,0,0,28,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,5.95,CRT
ASV_152,0,0,0,326,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,3,MT
ASV_153,47,150,1,2,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter,5,MT
ASV_154,200,0,0,69,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,1,CRT
ASV_155,6,50,3,0,214,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter,#N/A,#N/A
ASV_156,8,2,93,32,0,445,k__Bacteria;p__Proteobacteria,#N/A,#N/A
ASV_157,232,0,1,11,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,1,MT
ASV_158,3,79,0,3,146,34,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_cereus_VD136,3,CRT
ASV_159,117,19,30,0,0,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium,10.65,CAT
